"ID","Sexo","Edad","Fuma","Estatura","Colegio","Estrato","Financiacion","Acumulado","Gastos","Ingreso","Clases","Pandemia","Clases_virtuales","Estadistica","Inseguridad","vida_cotidiana","Puntaje"
"SB11201910040563","Femenino",16,"Si","Media","Privado",1,"Beca",3.86,70,2.03,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Totalmente de acuerdo",32
"SB11201910037871","Masculino",20,"Si","Media","Privado",2,"Beca",3.7,38,1.28,"Presencial","De acuerdo","De acuerdo","En desacuerdo","Indeciso","En desacuerdo",77
"SB11201910037211","Femenino",18,"Si","Media","Privado",3,"Beca",4.91,36,1.22,"Presencial","De acuerdo","En desacuerdo","De acuerdo","Indeciso","Indeciso",72
"SB11201910036756","Femenino",20,"Si","Baja","Privado",1,"Beca",3.53,46,1.55,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",60
"SB11201910037284","Femenino",17,"Si","Baja","Privado",2,"Beca",4.3,73,2.1,"Virtual","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",69
"SB11201910040552","Femenino",18,"Si","Media","Privado",1,"Beca",3.62,44,1.49,"Presencial","De acuerdo","Totalmente en desacuerdo","En desacuerdo","Indeciso","De acuerdo",65
"SB11201910040585","Masculino",20,"Si","Baja","Privado",3,"Beca",4.08,52,0.92,"Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo",54
"SB11201910042854","Masculino",19,"Si","Baja","Privado",3,"Beca",4.16,81,0.7,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","En desacuerdo",52
"SB11201910037236","Masculino",17,"Si","Baja","Privado",2,"Beca",4.18,57,1.91,"Virtual","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Indeciso",36
"SB11201910042910","Masculino",18,"No","Alta","Privado",1,"Beca",4.8,35,1.18,"Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","Totalmente de acuerdo",35
"SB11201910036984","Femenino",17,"Si","Media","Privado",1,"Beca",3.73,48,0.61,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","En desacuerdo",35
"SB11201910036719","Masculino",19,"Si","Media","Privado",1,"Beca",3.62,39,1.32,"Presencial","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo",34
"SB11201910040613","Femenino",18,"Si","Baja","Privado",2,"Beca",3.51,32,1.07,"Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","De acuerdo",32
"SB11201910037250","Femenino",22,"Si","Alta","Privado",1,"Beca",4.15,42,1.41,"Virtual","De acuerdo","En desacuerdo","Totalmente en desacuerdo","En desacuerdo","Indeciso",28
"SB11201910038501","Femenino",18,"Si","Baja","Privado",1,"Beca",3.71,25,1.06,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910045994","Femenino",17,"Si","Media","Privado",2,"Beca",3.57,45,1.52,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Indeciso",28
"SB11201910045983","Femenino",16,"Si","Baja","Privado",2,"Beca",4.72,53,0.78,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","En desacuerdo","Indeciso",28
"SB11201910046075","Masculino",20,"Si","Media","Privado",2,"Beca",3.82,34,1.15,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Totalmente de acuerdo",26
"SB11201910046027","Masculino",19,"Si","Media","Privado",1,"Beca",3.45,37,1.25,"Virtual","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",26
"SB11201910045892","Femenino",18,"Si","Baja","Privado",1,"Beca",3.62,57,1.9,"Presencial","De acuerdo","En desacuerdo","Indeciso","En desacuerdo","De acuerdo",25
"SB11201910022784","Femenino",17,"Si","Media","Privado",1,"Beca",4.56,44,1.49,"Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","De acuerdo",24
"SB11201910013511","Femenino",17,"Si","Alta","Privado",2,"Beca",3.81,40,1.35,"Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","En desacuerdo",24
"SB11201910013496","Masculino",16,"Si","Media","Privado",1,"Beca",4.13,34,1.16,"Virtual","De acuerdo","De acuerdo","Indeciso","En desacuerdo","Indeciso",24
"SB11201910014696","Masculino",17,"Si","Baja","Privado",1,"Beca",3.58,38,1.29,"Virtual","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","En desacuerdo",22
"SB11201910013469","Masculino",18,"No","Media","Privado",1,"Beca",4.1,85,2.85,"Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",21
"SB11201910047496","Femenino",19,"No","Baja","Privado",3,"Beca",4.31,44,1.49,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","De acuerdo",27
"SB11201910013576","Masculino",17,"No","Media","Privado",3,"Beca",4.42,39,1.33,"Virtual","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo",19
"SB11201910014705","Femenino",18,"No","Media","Privado",2,"Beca",4.11,39,1.3,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",18
"SB11201910013426","Masculino",19,"No","Media","Privado",2,"Beca",3.9,35,1.02,"Virtual","De acuerdo","En desacuerdo","Indeciso","De acuerdo","De acuerdo",18
"SB11201910022798","Masculino",21,"Si","Media","Privado",2,"Beca",4,48,0.61,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","De acuerdo",17
"SB11201910035823","Masculino",17,"No","Baja","Privado",2,"Beca",2.88,46,1.55,"Virtual","De acuerdo","En desacuerdo","De acuerdo","Indeciso","Totalmente en desacuerdo",17
"SB11201910064436","Femenino",20,"No","Media","Privado",1,"Beca",3.56,48,1.63,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Indeciso",12
"SB11201910058624","Masculino",20,"No","Media","Privado",1,"Beca",3.95,37,1.25,"Presencial","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Totalmente de acuerdo",18
"SB11201910047596","Femenino",18,"No","Baja","Privado",3,"Beca",3.78,75,0.51,"Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","De acuerdo",11
"SB11201910058846","Femenino",18,"No","Media","Privado",1,"Beca",3.82,68,2.29,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","Indeciso",9
"SB11201910012200","Femenino",17,"No","Media","Privado",2,"Beca",3.38,54,1.82,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",18
"SB11201910018381","Femenino",16,"No","Baja","Privado",2,"Beca",4.02,55,1.84,"Virtual","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",20
"SB11201910020806","Masculino",20,"No","Media","Privado",1,"Beca",3.2,58,0.96,"Virtual","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo",22
"SB11201910016948","Masculino",18,"Si","Alta","Privado",1,"Beca",4.22,47,0.59,"Presencial","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo",24
"SB11201910018401","Masculino",22,"No","Media","Privado",3,"Beca",2.96,51,1.73,"Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",26
"SB11201910020798","Masculino",21,"No","Media","Privado",3,"Beca",3.98,42,1.42,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",28
"SB11201910018391","Masculino",17,"No","Media","Privado",1,"Beca",3.71,31,1.06,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Indeciso",81
"SB11201910020785","Femenino",17,"No","Baja","Privado",2,"Beca",3.5,66,2.23,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",78
"SB11201910020838","Femenino",18,"No","Media","Privado",3,"Beca",3.73,77,0.57,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",77
"SB11201910016953","Masculino",20,"Si","Baja","Privado",1,"Beca",3.09,79,0.66,"Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","De acuerdo",70
"SB11201910016935","Masculino",18,"No","Media","Privado",1,"Beca",3.87,38,1.07,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",68
"SB11201910018389","Femenino",20,"No","Baja","Privado",1,"Beca",3.96,67,1.24,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","De acuerdo",65
"SB11201910022580","Masculino",19,"No","Baja","Privado",2,"Beca",3.45,34,1.15,"Presencial","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Indeciso",54
"SB11201910028681","Masculino",22,"No","Media","Privado",1,"Beca",4.07,65,1.19,"Presencial","De acuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo","Indeciso",50
"SB11201910012813","Masculino",17,"No","Baja","Privado",1,"Beca",3.83,59,1.99,"Virtual","De acuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",36
"SB11201910021268","Masculino",19,"Si","Media","Privado",1,"Beca",4.62,75,0.51,"Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",35
"SB11201910005660","Masculino",21,"No","Alta","Privado",2,"Beca",3.59,30,1.01,"Virtual","En desacuerdo","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo",35
"SB11201910021257","Masculino",21,"No","Media","Privado",1,"Beca",3.87,51,1.73,"Presencial","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","De acuerdo",34
"SB11201910009353","Masculino",17,"No","Baja","Privado",1,"Beca",3.77,36,1.23,"Presencial","Ni de acuerdo, ni en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo",30
"SB11201910021272","Femenino",21,"No","Media","Privado",1,"Beca",4.13,48,1.6,"Presencial","De acuerdo","Totalmente en desacuerdo","En desacuerdo","De acuerdo","De acuerdo",28
"SB11201910004115","Masculino",19,"Si","Media","Privado",1,"Beca",2.83,87,0.91,"Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910009323","Masculino",21,"No","Media","Privado",1,"Beca",3.47,70,0.55,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","En desacuerdo",28
"SB11201910005666","Masculino",18,"Si","Alta","Privado",1,"Beca",3.3,35,1.17,"Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","En desacuerdo","De acuerdo","De acuerdo",28
"SB11201910047409","Masculino",20,"Si","Baja","Privado",3,"Beca",4.43,44,1.49,"Presencial","De acuerdo","En desacuerdo","De acuerdo","Totalmente en desacuerdo","De acuerdo",26
"SB11201910017256","Femenino",22,"Si","Alta","Privado",2,"Beca",3.36,79,2.65,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Indeciso",26
"SB11201910021254","Masculino",18,"Si","Alta","Privado",1,"Beca",3.08,62,2.08,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","Indeciso",25
"SB11201910009318","Femenino",18,"Si","Media","Privado",1,"Beca",3.45,54,0.8,"Presencial","De acuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",24
"SB11201910005663","Femenino",17,"Si","Baja","Privado",1,"Beca",3.71,33,1.13,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Indeciso",24
"SB11201910004145","Masculino",19,"Si","Media","Privado",3,"Beca",3.38,49,0.64,"Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","Indeciso","En desacuerdo",24
"SB11201910017269","Femenino",18,"No","Media","Privado",1,"Beca",3.65,44,1.48,"Virtual","En desacuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo",22
"SB11201910009280","Femenino",19,"No","Media","Privado",2,"Credito",3.39,39,1.3,"Presencial","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Indeciso","Indeciso",20
"SB11201910004152","Masculino",20,"No","Media","Privado",1,"Credito",3.27,34,1.15,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",20
"SB11201910031876","Masculino",22,"Si","Baja","Privado",1,"Beca",3.08,43,1.32,"Virtual","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo",19
"SB11201910005659","Masculino",19,"Si","Media","Privado",1,"Beca",3.37,48,0.61,"Virtual","En desacuerdo","Totalmente de acuerdo","Indeciso","En desacuerdo","Totalmente de acuerdo",18
"SB11201910021259","Femenino",21,"Si","Alta","Privado",1,"Beca",3.83,25,1.37,"Presencial","De acuerdo","En desacuerdo","Indeciso","En desacuerdo","Indeciso",18
"SB11201910009275","Masculino",19,"Si","Baja","Privado",1,"Beca",3.25,34,1.14,"Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Indeciso","Indeciso",17
"SB11201910024680","Masculino",21,"No","Alta","Privado",1,"Beca",3.77,44,1.47,"Virtual","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo",17
"SB11201910024695","Masculino",21,"Si","Alta","Privado",1,"Beca",4.07,43,1.46,"Presencial","En desacuerdo","Totalmente de acuerdo","Indeciso","En desacuerdo","De acuerdo",12
"SB11201910024824","Masculino",19,"Si","Media","Privado",1,"Beca",4.03,43,1.1,"Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","De acuerdo",10
"SB11201910024672","Masculino",18,"No","Media","Privado",2,"Beca",3.4,45,1.52,"Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",10
"SB11201910024549","Femenino",21,"Si","Baja","Privado",1,"Beca",3.38,63,2.12,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Indeciso",9
"SB11201910024610","Masculino",18,"No","Baja","Privado",1,"Credito",4.27,49,1.65,"Presencial","En desacuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",9
"SB11201910024540","Masculino",20,"No","Media","Privado",2,"Credito",3.89,39,1.33,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","Totalmente de acuerdo","Indeciso",15
"SB11201910024576","Femenino",21,"No","Baja","Privado",1,"Beca",3.02,70,0.36,"Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","En desacuerdo",17
"SB11201910024670","Masculino",19,"No","Baja","Privado",3,"Beca",3.19,41,1.37,"Presencial","De acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Indeciso",19
"SB11201910024559","Femenino",17,"No","Baja","Privado",3,"Beca",3.96,44,1.49,"Presencial","Ni de acuerdo, ni en desacuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","Indeciso",21
"SB11201910024615","Femenino",17,"No","Baja","Privado",1,"Beca",3.66,54,0.8,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","Indeciso","De acuerdo",23
"SB11201910029059","Masculino",22,"No","Baja","Privado",1,"Beca",3.69,52,0.74,"Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",32
"SB11201910024589","Masculino",16,"No","Media","Privado",2,"Beca",2.9,45,1.5,"Virtual","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",77
"SB11201910024676","Femenino",18,"No","Baja","Privado",1,"Beca",3.37,57,0.92,"Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo",72
"SB11201910024599","Masculino",17,"No","Baja","Privado",3,"Beca",3.47,31,1.05,"Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","De acuerdo",60
"SB11201910024573","Masculino",19,"No","Media","Privado",3,"Credito",3.7,36,1.04,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","Indeciso",69
"SB11201910024595","Femenino",16,"No","Media","Privado",3,"Credito",3.35,48,1.62,"Presencial","Ni de acuerdo, ni en desacuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Indeciso",65
"SB11201910024760","Femenino",21,"No","Baja","Privado",3,"Credito",3.87,31,1.39,"Presencial","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo",54
"SB11201910024538","Masculino",19,"No","Baja","Privado",3,"Credito",3.73,36,1.2,"Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",52
"SB11201910024703","Masculino",21,"No","Media","Privado",2,"Beca",4.19,59,1.98,"Virtual","En desacuerdo","En desacuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo",36
"SB11201910024544","Masculino",17,"No","Baja","Privado",3,"Beca",3.23,76,1.22,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","De acuerdo",35
"SB11201910013386","Masculino",18,"No","Media","Privado",3,"Beca",3.41,50,2,"Presencial","De acuerdo","En desacuerdo","Indeciso","De acuerdo","Totalmente en desacuerdo",35
"SB11201910024941","Masculino",21,"No","Media","Privado",3,"Credito",3.01,46,1.55,"Presencial","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo",34
"SB11201910013560","Femenino",20,"No","Media","Privado",3,"Beca",3.82,38,1.28,"Virtual","Ni de acuerdo, ni en desacuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",32
"SB11201910013475","Masculino",20,"No","Media","Privado",3,"Credito",3.32,36,1.21,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","De acuerdo",28
"SB11201910013521","Masculino",18,"Si","Baja","Privado",2,"Beca",3.67,34,1.16,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","Totalmente de acuerdo","Totalmente de acuerdo",28
"SB11201910011798","Masculino",20,"No","Media","Privado",1,"Beca",2.94,47,1.59,"Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","De acuerdo",28
"SB11201910011672","Masculino",16,"No","Baja","Privado",2,"Credito",2.2,36,1.21,"Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Indeciso",28
"SB11201910011696","Femenino",30,"No","Baja","Privado",3,"Beca",3.95,67,2.25,"Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo",26
"SB11201910011655","Femenino",18,"No","Baja","Privado",2,"Beca",3.99,66,2,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Indeciso",26
"SB11201910011945","Femenino",20,"No","Alta","Privado",2,"Credito",3.98,74,0.48,"Presencial","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","Indeciso","Indeciso",25
"SB11201910011934","Femenino",17,"No","Media","Privado",3,"Credito",3.45,38,1.27,"Virtual","De acuerdo","En desacuerdo","De acuerdo","Indeciso","De acuerdo",24
